,xc,yb,surf,airfoil,alpha,M,Re,chord,taper ratio,span,le sweep,cp,source,std,case
119,0.08,0.367,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.185,ARC-RM-2822/1_Wing_A,0,1
120,0.03,0.367,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.055,ARC-RM-2822/1_Wing_A,0,1
121,0.01,0.367,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,0.115,ARC-RM-2822/1_Wing_A,0,1
122,0.0,0.367,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,0.505,ARC-RM-2822/1_Wing_A,0,1
123,0.01,0.367,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,0.1,ARC-RM-2822/1_Wing_A,0,1
124,0.03,0.367,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.09,ARC-RM-2822/1_Wing_A,0,1
125,0.08,0.367,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.2,ARC-RM-2822/1_Wing_A,0,1
126,0.15,0.367,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.255,ARC-RM-2822/1_Wing_A,0,1
127,0.225,0.367,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.26,ARC-RM-2822/1_Wing_A,0,1
128,0.35,0.367,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.24,ARC-RM-2822/1_Wing_A,0,1
129,0.5,0.367,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.14,ARC-RM-2822/1_Wing_A,0,1
130,0.65,0.367,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.05,ARC-RM-2822/1_Wing_A,0,1
131,0.75,0.367,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.02,ARC-RM-2822/1_Wing_A,0,1
132,0.85,0.367,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,0.035,ARC-RM-2822/1_Wing_A,0,1
133,0.95,0.367,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,0.07,ARC-RM-2822/1_Wing_A,0,1
134,0.95,0.51,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,0.08,ARC-RM-2822/1_Wing_A,0,1
135,0.85,0.51,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,0.035,ARC-RM-2822/1_Wing_A,0,1
136,0.75,0.51,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.01,ARC-RM-2822/1_Wing_A,0,1
137,0.65,0.51,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.055,ARC-RM-2822/1_Wing_A,0,1
138,0.5,0.51,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.14,ARC-RM-2822/1_Wing_A,0,1
139,0.35,0.51,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.235,ARC-RM-2822/1_Wing_A,0,1
140,0.225,0.51,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.25,ARC-RM-2822/1_Wing_A,0,1
141,0.15,0.51,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.24,ARC-RM-2822/1_Wing_A,0,1
142,0.08,0.51,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.2,ARC-RM-2822/1_Wing_A,0,1
143,0.03,0.51,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.065,ARC-RM-2822/1_Wing_A,0,1
144,0.01,0.51,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,0.155,ARC-RM-2822/1_Wing_A,0,1
145,0.0,0.51,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,0.495,ARC-RM-2822/1_Wing_A,0,1
146,0.01,0.51,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,0.11,ARC-RM-2822/1_Wing_A,0,1
147,0.03,0.51,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.04,ARC-RM-2822/1_Wing_A,0,1
148,0.08,0.51,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.185,ARC-RM-2822/1_Wing_A,0,1
149,0.15,0.51,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.245,ARC-RM-2822/1_Wing_A,0,1
150,0.225,0.51,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.255,ARC-RM-2822/1_Wing_A,0,1
151,0.35,0.51,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.235,ARC-RM-2822/1_Wing_A,0,1
152,0.5,0.51,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.15,ARC-RM-2822/1_Wing_A,0,1
153,0.65,0.51,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.06,ARC-RM-2822/1_Wing_A,0,1
